ApplicationDocsID,ApplNo,SubmissionType,SubmissionNo,ApplicationDocsTitle,ApplicationDocsURL,ApplicationDocsDate,VerificationStatus
20051,016126,SUPPL,28,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2004/016126_S028_PRIMATENE MIST.pdf,2007-07-06 00:00:00,INDEX ONLY - content not screened for IND information
20052,016608,ORIG,1,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/pre96/016608_Tegretol.html,2004-12-08 00:00:00,INDEX ONLY - content not screened for IND information
20053,016608,SUPPL,90,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2001/016608_S090_TEGRETOL_AP.pdf,2007-03-08 00:00:00,INDEX ONLY - content not screened for IND information
20054,016620,SUPPL,16,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/pre96/016620_S016_Macrodantin Capsules.pdf,2007-07-09 00:00:00,INDEX ONLY - content not screened for IND information
20055,016620,SUPPL,17,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/pre96/016620_S017_Macrodantin Capsules.pdf,2007-07-09 00:00:00,INDEX ONLY - content not screened for IND information
20056,016620,SUPPL,20,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/pre96/016620_S020_Macrodantin Capsules.pdf,2007-07-09 00:00:00,INDEX ONLY - content not screened for IND information
20057,016620,SUPPL,47,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/pre96/16620_S047_MacrodantinTOC.html,2007-02-20 00:00:00,INDEX ONLY - content not screened for IND information
20058,016620,SUPPL,53,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/pre96/016620_S053_MACRODANTIN.pdf,2008-02-19 00:00:00,INDEX ONLY - content not screened for IND information
20059,016620,SUPPL,59,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/pre96/016620_S059_MACRODANTIN.pdf,2008-02-19 00:00:00,INDEX ONLY - content not screened for IND information
20060,016620,SUPPL,62,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/97/016620_S062_MACRODANTIN.pdf,2008-08-11 00:00:00,INDEX ONLY - content not screened for IND information
20061,016620,SUPPL,65,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2004/016620_S065_MACRODANTIN.pdf,2008-07-31 00:00:00,INDEX ONLY - content not screened for IND information
20063,016792,SUPPL,15,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2000/16792S015.pdf,2002-05-02 00:00:00,INDEX ONLY - content not screened for IND information
20064,016792,SUPPL,18,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2000/16792S015.pdf,2002-05-02 00:00:00,INDEX ONLY - content not screened for IND information
20065,016806,SUPPL,29,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/97/16672-s047_ovral_ovral-28.pdf,1997-08-14 00:00:00,INDEX ONLY - content not screened for IND information
20066,016831,SUPPL,11,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/pre96/16831_s011_efudex.pdf,2011-06-23 00:00:00,INDEX ONLY - content not screened for IND information
20067,016831,SUPPL,30,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/pre96/16831_s030_efudex.pdf,2011-06-23 00:00:00,INDEX ONLY - content not screened for IND information
20068,016885,SUPPL,22,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2003/016885_S022_Lysodren.pdf,2009-01-12 00:00:00,INDEX ONLY - content not screened for IND information
20069,016997,SUPPL,41,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2001/16-774S073.pdf,2003-02-05 00:00:00,INDEX ONLY - content not screened for IND information
20070,017105,SUPPL,62,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2002/017105_S062_TRANXENE_AP.pdf,2007-07-09 00:00:00,INDEX ONLY - content not screened for IND information
20071,017351,SUPPL,27,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2002/17-351s027_Cortifoam.html,2005-03-08 00:00:00,INDEX ONLY - content not screened for IND information
20072,017351,SUPPL,30,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2003/017351_s030_CortifoamTOC.html,2006-05-08 00:00:00,INDEX ONLY - content not screened for IND information
20073,017430,SUPPL,27,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/17-430s026s027_14-214s050s051_Negram.html,2004-08-10 00:00:00,INDEX ONLY - content not screened for IND information
20074,017516,ORIG,1,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/pre96/017516_OriginalApprovalPackage.pdf,2009-11-02 00:00:00,INDEX ONLY - content not screened for IND information
20075,017521,SUPPL,63,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2002/017521_s062_s063_DEXTROSE_INJ.pdf,2007-09-24 00:00:00,INDEX ONLY - content not screened for IND information
20076,017531,SUPPL,10,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2001/017531_S010_TIGAN_CAPSULE_AP.pdf,2007-07-06 00:00:00,INDEX ONLY - content not screened for IND information
20077,017533,SUPPL,31,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2001/017533_S031_KLONOPIN_TABS_AP.pdf,2007-04-09 00:00:00,INDEX ONLY - content not screened for IND information
20078,017558,ORIG,1,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/pre96/017558_S000_RobinulTOC.html,2007-02-20 00:00:00,INDEX ONLY - content not screened for IND information
20079,017573,SUPPL,40,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/17573s040_vanceril_approv_admindocs.pdf,2004-06-29 00:00:00,INDEX ONLY - content not screened for IND information
20080,017577,SUPPL,33,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2003/017577_s032&s033_DITROPAN TABS.pdf,2009-09-14 00:00:00,INDEX ONLY - content not screened for IND information
20081,017651,ORIG,1,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/pre96/017651_ORIGINAL APPROVAL_PACKAGE.pdf,2007-07-20 00:00:00,INDEX ONLY - content not screened for IND information
20082,017691,SUPPL,19,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2001/17-691S019_Diprosone.html,2001-10-03 00:00:00,INDEX ONLY - content not screened for IND information
20083,017691,SUPPL,24,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2001/17-691S019_Diprosone.html,2001-10-03 00:00:00,INDEX ONLY - content not screened for IND information
20084,017697,SUPPL,12,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2002/017697Orig1s012.pdf,2012-11-09 00:00:00,INDEX ONLY - content not screened for IND information
20085,017697,SUPPL,13,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2002/017697Orig1s013.pdf,2012-11-09 00:00:00,INDEX ONLY - content not screened for IND information
20086,017697,SUPPL,14,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2002/017697Orig1s014.pdf,2012-11-09 00:00:00,INDEX ONLY - content not screened for IND information
20087,017703,SUPPL,12,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/96/1996-017703a_s012.pdf,2003-06-17 00:00:00,INDEX ONLY - content not screened for IND information
20088,017781,SUPPL,22,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2001/17-781S015_Diprosone.html,2001-10-03 00:00:00,INDEX ONLY - content not screened for IND information
20089,017820,SUPPL,36,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/98/17820-s036_doubtrex.pdf,1998-07-29 00:00:00,INDEX ONLY - content not screened for IND information
20090,017820,SUPPL,37,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2002/17-820_Dobutrex.html,2002-07-23 00:00:00,INDEX ONLY - content not screened for IND information
20091,017831,SUPPL,53,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2004/017831_S053_DIDRONEL_AP.pdf,2007-07-06 00:00:00,INDEX ONLY - content not screened for IND information
20092,017853,SUPPL,16,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/98/17559-S023_Proventil.pdf,1998-11-06 00:00:00,INDEX ONLY - content not screened for IND information
20093,017854,SUPPL,39,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/18821-S018_Reglan.pdf,2001-06-18 00:00:00,INDEX ONLY - content not screened for IND information
20094,017858,SUPPL,35,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2012/017858Orig1s035MedR.pdf,2012-09-12 00:00:00,INDEX ONLY - content not screened for IND information
20095,017874,SUPPL,27,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2001/017874_S018 & S027_SCOPOLAMINE_AP.pdf,2007-07-09 00:00:00,INDEX ONLY - content not screened for IND information
20096,017892,SUPPL,34,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2003/017892_s034_HalcionTOC.html,2006-05-08 00:00:00,INDEX ONLY - content not screened for IND information
20097,017962,SUPPL,63,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2005/017962_s063_s064_ParlodelTOC.html,2006-05-08 00:00:00,INDEX ONLY - content not screened for IND information
20098,017970,SUPPL,40,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/98/17970S39S40.html,1998-10-29 00:00:00,INDEX ONLY - content not screened for IND information
20099,017970,SUPPL,49,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2003/17-970S049FA_Nolvadex.html,2003-07-05 00:00:00,INDEX ONLY - content not screened for IND information
20100,017970,SUPPL,51,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2003/17-970S049FA_Nolvadex.html,2003-07-05 00:00:00,INDEX ONLY - content not screened for IND information
20101,018013,SUPPL,53,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2001/018013_s053_PAMELOR CAPSULES.pdf,2009-09-14 00:00:00,INDEX ONLY - content not screened for IND information
20102,018017,SUPPL,36,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2003/18-017s036_Blocadren.html,2003-07-05 00:00:00,INDEX ONLY - content not screened for IND information
20103,018024,SUPPL,40,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2005/018024_S040_NUBAIN.pdf,2007-08-06 00:00:00,INDEX ONLY - content not screened for IND information
20104,018035,ORIG,1,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/pre96/18-035_Technescan%20MDP.pdf,2002-08-14 00:00:00,INDEX ONLY - content not screened for IND information
20105,018044,SUPPL,18,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/pre96/018044a_s018_s019_s024.pdf,1998-05-06 00:00:00,INDEX ONLY - content not screened for IND information
20106,018060,SUPPL,55,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/97/18-060S055.pdf,2003-09-11 00:00:00,INDEX ONLY - content not screened for IND information
20107,018086,SUPPL,60,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2003/018086_s060_TimopticTOC.html,2006-05-08 00:00:00,INDEX ONLY - content not screened for IND information
20108,018117,SUPPL,29,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/18117s029_azmacort_approv_prntlbl_medr_admindocs_corres.pdf,2004-05-27 00:00:00,INDEX ONLY - content not screened for IND information
20109,018118,ORIG,1,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/pre96/018118_lanoxicaps_toc.html,2003-08-05 00:00:00,INDEX ONLY - content not screened for IND information
20110,018140,SUPPL,3,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/97/018140ap_s003.pdf,1997-10-05 00:00:00,INDEX ONLY - content not screened for IND information
20111,018148,SUPPL,23,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/18148s023_nasalide.pdf,1999-02-25 00:00:00,INDEX ONLY - content not screened for IND information
20112,018201,SUPPL,37,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2002/18-200s024_Midamor.html,2002-05-30 00:00:00,INDEX ONLY - content not screened for IND information
20113,018211,SUPPL,14,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2003/018211_s014&s016_DITROPAN TABLETS.pdf,2009-09-14 00:00:00,INDEX ONLY - content not screened for IND information
20114,018225,SUPPL,19,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2002/18-225s018s19_18-226s24s25_Bumex.html,2003-03-07 00:00:00,INDEX ONLY - content not screened for IND information
20115,018226,SUPPL,25,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2002/18-225s018s19_18-226s24s25_Bumex.html,2003-03-07 00:00:00,INDEX ONLY - content not screened for IND information
20116,018227,SUPPL,12,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/018227_s012_AmidateTOC.html,2006-05-10 00:00:00,INDEX ONLY - content not screened for IND information
20117,018240,SUPPL,26,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/18240-s026_tenormin.pdf,2001-06-04 00:00:00,INDEX ONLY - content not screened for IND information
20118,018248,SUPPL,26,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/018248_S026_OXYTOCIN_AP.pdf,2007-07-09 00:00:00,INDEX ONLY - content not screened for IND information
