ApplicationDocsID,ApplicationDocsTypeID,ApplNo,SubmissionType,SubmissionNo,ApplicationDocsTitle,ApplicationDocsURL,ApplicationDocsDate,UnparsedExtraFields,screening_status
73271,2,214373,ORIG      ,1,0,http://www.accessdata.fda.gov/drugsatfda_docs/label/2023/214373s000lbl.pdf,2023-01-23 00:00:00,[],Unscreened Stage B index row
73273,1,209022,SUPPL     ,13,0,"https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2023/209022Orig1s013,s017ltr.pdf",2023-01-23 00:00:00,[],Unscreened Stage B index row
73274,1,209022,SUPPL     ,17,0,"https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2023/209022Orig1s013,s017ltr.pdf",2023-01-23 00:00:00,[],Unscreened Stage B index row
73275,1,210274,ORIG      ,1,0,https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2023/210274Orig1s000ltr.pdf,2023-01-23 00:00:00,[],Unscreened Stage B index row
73276,2,017771,SUPPL     ,44,0,http://www.accessdata.fda.gov/drugsatfda_docs/label/2022/017771Orig1s044lbl.pdf,2023-01-23 00:00:00,[],Unscreened Stage B index row
73277,2,208288,SUPPL     ,4,0,http://www.accessdata.fda.gov/drugsatfda_docs/label/2023/208288Orig1s004lbl.pdf,2023-01-23 00:00:00,[],Unscreened Stage B index row
73278,2,214826,ORIG      ,1,0,http://www.accessdata.fda.gov/drugsatfda_docs/label/2021/214826s000lbl.pdf,2023-01-23 00:00:00,[],Unscreened Stage B index row
73279,2,210274,ORIG      ,1,0,http://www.accessdata.fda.gov/drugsatfda_docs/label/2023/210274s000lbl.pdf,2023-01-24 00:00:00,[],Unscreened Stage B index row
73280,2,209310,SUPPL     ,6,0,http://www.accessdata.fda.gov/drugsatfda_docs/label/2023/209310s006lbl.pdf,2023-01-24 00:00:00,[],Unscreened Stage B index row
73282,2,020449,SUPPL     ,86,0,http://www.accessdata.fda.gov/drugsatfda_docs/label/2023/020449s086lbl.pdf,2023-01-25 00:00:00,[],Unscreened Stage B index row
73283,2,209022,SUPPL     ,13,0,http://www.accessdata.fda.gov/drugsatfda_docs/label/2023/209022s013s017lbl.pdf,2023-01-25 00:00:00,[],Unscreened Stage B index row
73284,2,209022,SUPPL     ,17,0,http://www.accessdata.fda.gov/drugsatfda_docs/label/2023/209022s013s017lbl.pdf,2023-01-25 00:00:00,[],Unscreened Stage B index row
73285,1,203441,SUPPL     ,16,0,https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2023/203441Orig1s016ltr.pdf,2023-01-25 00:00:00,[],Unscreened Stage B index row
73292,1,019839,SUPPL     ,102,0,https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2023/019839Orig1s102;020990Orig1s059ltr.pdf,2023-01-26 00:00:00,[],Unscreened Stage B index row
73293,1,020990,SUPPL     ,59,0,https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2023/019839Orig1s102;020990Orig1s059ltr.pdf,2023-01-26 00:00:00,[],Unscreened Stage B index row
73294,1,211994,SUPPL     ,14,0,https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2023/211994Orig1s014ltr.pdf,2023-01-26 00:00:00,[],Unscreened Stage B index row
73295,1,212028,SUPPL     ,7,0,https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2023/212028Orig1s007ltr.pdf,2023-01-26 00:00:00,[],Unscreened Stage B index row
73296,1,761164,SUPPL     ,3,0,https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2023/761164Orig1s003ltr.pdf,2023-01-26 00:00:00,[],Unscreened Stage B index row
