parent_id,child_id,label
00dc2b1be249d8eddea50a06,869aea031f088cf30687eda9,FDA pdfFilenames metadata
00dc2b1be249d8eddea50a06,b51de670f1b6518a6243f8b2,FDA pdfFilenames metadata
00dc2b1be249d8eddea50a06,04ad245dc53f8308d972b829,FDA pdfFilenames metadata
00dde7fe01cba324e4a98ed0,09e42f80f392601886f6ef87,FDA pdfFilenames metadata
00dde7fe01cba324e4a98ed0,16acecf8877cf085167b5740,FDA pdfFilenames metadata
00dde7fe01cba324e4a98ed0,a238f8cd606edf00145b3e2b,FDA pdfFilenames metadata
00dde7fe01cba324e4a98ed0,37d96f3ffde557f016db5950,FDA pdfFilenames metadata
00dde7fe01cba324e4a98ed0,e3dbce0a0cfe998fdbac6029,FDA pdfFilenames metadata
00dde7fe01cba324e4a98ed0,9a8dd60e484896975569485c,FDA pdfFilenames metadata
00dde7fe01cba324e4a98ed0,ae62ec5d71959bf94c19aa91,FDA pdfFilenames metadata
00dde7fe01cba324e4a98ed0,82554ce3b95ac26204520cd8,FDA pdfFilenames metadata
00dde7fe01cba324e4a98ed0,8d6ce47753e3bc47087f2107,FDA pdfFilenames metadata
00dde7fe01cba324e4a98ed0,0c55f2afe5e016984f8d9a02,FDA pdfFilenames metadata
00dde7fe01cba324e4a98ed0,cef6764944153f4bd6cbeed5,FDA pdfFilenames metadata
00dde7fe01cba324e4a98ed0,d4df082a7f0c6b64fc09d9b3,FDA pdfFilenames metadata
00eaa3133667c108b6b8add2,b9541231b0ca6e51eb720985,FDA pdfFilenames metadata
00eaa3133667c108b6b8add2,7e994a346d531d027f95b2ca,FDA pdfFilenames metadata
00eaa3133667c108b6b8add2,2e19d1db65b685449a2ae565,FDA pdfFilenames metadata
00eaa3133667c108b6b8add2,76c72ee8fef4d21f66246c27,FDA pdfFilenames metadata
011678cfe7f8b71744781e8f,4c116310449ef4fe63a8d37f,FDA pdfFilenames metadata
011678cfe7f8b71744781e8f,cad5cea0c9502eab7e05910a,FDA pdfFilenames metadata
011678cfe7f8b71744781e8f,8c3b6960324342d1eda12730,FDA pdfFilenames metadata
011678cfe7f8b71744781e8f,0802cec342e10964b2d85b45,FDA pdfFilenames metadata
011678cfe7f8b71744781e8f,3d8c08ce2cd6d885bd33f501,FDA pdfFilenames metadata
011678cfe7f8b71744781e8f,b7bad537e117e5a0eb4e71fb,FDA pdfFilenames metadata
011678cfe7f8b71744781e8f,6096e71a4239533c0f406be9,FDA pdfFilenames metadata
011678cfe7f8b71744781e8f,3cec7d3c056b51bc172b2d14,FDA pdfFilenames metadata
011678cfe7f8b71744781e8f,f9fee8464c11e93ee3d7ae3d,FDA pdfFilenames metadata
011678cfe7f8b71744781e8f,4ca4934437947703efac0932,FDA pdfFilenames metadata
011678cfe7f8b71744781e8f,b0bf9c8698a64c10d3142db2,FDA pdfFilenames metadata
011678cfe7f8b71744781e8f,2ad7c15a50d0b7df9e455d76,FDA pdfFilenames metadata
011678cfe7f8b71744781e8f,18c07aa754832448d006b47c,FDA pdfFilenames metadata
011678cfe7f8b71744781e8f,00872e562b795eb328529677,FDA pdfFilenames metadata
011678cfe7f8b71744781e8f,77f9870d43fadbeccdeb8e8e,FDA pdfFilenames metadata
011678cfe7f8b71744781e8f,65fe23238dac5966f8f307b3,FDA pdfFilenames metadata
011678cfe7f8b71744781e8f,baa6609b99483716f0420b53,FDA pdfFilenames metadata
011678cfe7f8b71744781e8f,ea2e724026ae104d2c0c60cf,FDA pdfFilenames metadata
011c4079fd2a688825466abc,de07e2910e215571617d6b88,FDA pdfFilenames metadata
011c4079fd2a688825466abc,bdec33323d77216ae1d9117f,FDA pdfFilenames metadata
011c4079fd2a688825466abc,c57c72f212bb8596e4a31268,FDA pdfFilenames metadata
011c4079fd2a688825466abc,a7a0958317994ff55e32e5d2,FDA pdfFilenames metadata
011c4079fd2a688825466abc,fbae60fa9c7f39ef375fbddf,FDA pdfFilenames metadata
011c4079fd2a688825466abc,12bca1e8516722a5425b22bf,FDA pdfFilenames metadata
011c4079fd2a688825466abc,e80f722e0246783af8f436a8,FDA pdfFilenames metadata
011c4079fd2a688825466abc,9dbb70783a203fc3942cbd59,FDA pdfFilenames metadata
011c4079fd2a688825466abc,d08e2e074672bf441d6a513c,FDA pdfFilenames metadata
011c4079fd2a688825466abc,856bd40d7f3fc16d2b2afefc,FDA pdfFilenames metadata
011c4079fd2a688825466abc,1335302ccdb431afba72d954,FDA pdfFilenames metadata
011c4079fd2a688825466abc,0c5ec299a803c3f1a4f3df4a,FDA pdfFilenames metadata
011c4079fd2a688825466abc,16da9be7d893ac15a1862918,FDA pdfFilenames metadata
011c4079fd2a688825466abc,2e75b84f52711895a3f2e41b,FDA pdfFilenames metadata
011c4079fd2a688825466abc,82abe18f9bd4ba8cfe1996b0,FDA pdfFilenames metadata
011c4079fd2a688825466abc,90cf8f48369c390405646911,FDA pdfFilenames metadata
01282129849367090da07719,1e6a248a1bbdba8ec2831d67,FDA pdfFilenames metadata
01282129849367090da07719,3fdffa5760b2258f3fc4ebf7,FDA pdfFilenames metadata
01282129849367090da07719,612615aae2790504c33faaa5,FDA pdfFilenames metadata
01282129849367090da07719,ad6cef979dccade5cb43d40f,FDA pdfFilenames metadata
01282129849367090da07719,1e04760bbadf829d4af0f591,FDA pdfFilenames metadata
01282129849367090da07719,291677de3390caec3a2f0919,FDA pdfFilenames metadata
01282129849367090da07719,4175de394c8c85d7b5e8d547,FDA pdfFilenames metadata
01282129849367090da07719,80f7ddf7e0ed3257d68e2544,FDA pdfFilenames metadata
01282129849367090da07719,af01c919adad22345b2d0219,FDA pdfFilenames metadata
01282129849367090da07719,f8f6b56a0730e4976a49f695,FDA pdfFilenames metadata
01282129849367090da07719,8de4b488f1fa9d379c603edd,FDA pdfFilenames metadata
01282129849367090da07719,7d57691b57a0b7c35bd6f78b,FDA pdfFilenames metadata
01282129849367090da07719,e63ac5fddf60db986c0e4ed8,FDA pdfFilenames metadata
015f086c1505026e9e2d09a7,bd3f9cd7469570b528c87046,FDA pdfFilenames metadata
015f086c1505026e9e2d09a7,a67a8581e2b8f18f3f3d46b0,FDA pdfFilenames metadata
015f086c1505026e9e2d09a7,fa9dba4893f6a624b766bff7,FDA pdfFilenames metadata
015f086c1505026e9e2d09a7,7fe202ecfb0bf96870d0fe1b,FDA pdfFilenames metadata
015f086c1505026e9e2d09a7,f08d97572e1cc66adb47fc1e,FDA pdfFilenames metadata
015f086c1505026e9e2d09a7,71f3e8e4323749131973e58d,FDA pdfFilenames metadata
015f086c1505026e9e2d09a7,ecb40800e3f544e9d559c49b,FDA pdfFilenames metadata
015f086c1505026e9e2d09a7,b5c8f00dbfe1ad1d30df68c3,FDA pdfFilenames metadata
015f086c1505026e9e2d09a7,26b2bf9fd46cae5133f581b7,FDA pdfFilenames metadata
015f086c1505026e9e2d09a7,aa38481fb87cfd4590901bc6,FDA pdfFilenames metadata
015f086c1505026e9e2d09a7,429aaf922af13ce04dac995f,FDA pdfFilenames metadata
015f086c1505026e9e2d09a7,22575895a121465d78265d78,FDA pdfFilenames metadata
015f086c1505026e9e2d09a7,bd6e751666ef13facfb1d511,FDA pdfFilenames metadata
015f086c1505026e9e2d09a7,c516b92c5e0798fa6f768e81,FDA pdfFilenames metadata
0165f90f42d8aa56d829d260,971687308beb1b64b90888a5,FDA pdfFilenames metadata
0165f90f42d8aa56d829d260,556ab8fde1b1a64d080e72b9,FDA pdfFilenames metadata
0165f90f42d8aa56d829d260,06eb3d3b895cc5ad2cf09a75,FDA pdfFilenames metadata
0165f90f42d8aa56d829d260,9d5a75c1bc6fb05c489274fc,FDA pdfFilenames metadata
0165f90f42d8aa56d829d260,fa8551f5b3c3bdced51517b0,FDA pdfFilenames metadata
0165f90f42d8aa56d829d260,3c0c420293f309f7d02cee10,FDA pdfFilenames metadata
0165f90f42d8aa56d829d260,02f18e172d53698d6cdc514d,FDA pdfFilenames metadata
0165f90f42d8aa56d829d260,1aa5d60c3a227a915b2f0fc1,FDA pdfFilenames metadata
0166b009055326aa42281e5d,c8e6ee8f102911e668b41ea9,FDA pdfFilenames metadata
0166b009055326aa42281e5d,7a84e7d03cf41aea01c50de8,FDA pdfFilenames metadata
0166b009055326aa42281e5d,38e0cc04aec0de90d553e09b,FDA pdfFilenames metadata
0166b009055326aa42281e5d,7696a3cdd89e78a461f4545c,FDA pdfFilenames metadata
0166b009055326aa42281e5d,2126f596a88388b891a443a9,FDA pdfFilenames metadata
0166b009055326aa42281e5d,e51dd23414d311e653ac1452,FDA pdfFilenames metadata
0166b009055326aa42281e5d,08f31ca20faf7101fc06a0b6,FDA pdfFilenames metadata
0166b009055326aa42281e5d,f3570b216add922d8ad8d0ab,FDA pdfFilenames metadata
0166b009055326aa42281e5d,0758a4468a224793415dd4b2,FDA pdfFilenames metadata
0166b009055326aa42281e5d,ff3db6125220744d9dff7f41,FDA pdfFilenames metadata
0166b009055326aa42281e5d,8d574423ef1cb6fc4025edf1,FDA pdfFilenames metadata
0166b009055326aa42281e5d,cbe146ed8f59cbb354364816,FDA pdfFilenames metadata
0166b009055326aa42281e5d,23be5024a9bb970eadec8ae9,FDA pdfFilenames metadata
0166b009055326aa42281e5d,598f2fe0941c6359380466e1,FDA pdfFilenames metadata
0166b009055326aa42281e5d,03045cf4d05608eb08b28ccd,FDA pdfFilenames metadata
018e4e932c2aa9647fdc7a11,611326ed5dd02a1802f7543b,FDA pdfFilenames metadata
018e4e932c2aa9647fdc7a11,d5d62c608be5d8ce7f29293c,FDA pdfFilenames metadata
018e4e932c2aa9647fdc7a11,27b34ee1625b24373982b940,FDA pdfFilenames metadata
018e4e932c2aa9647fdc7a11,fa9ccb91307fea1f75db6a9a,FDA pdfFilenames metadata
018e4e932c2aa9647fdc7a11,984408b4c492e2ae3931df05,FDA pdfFilenames metadata
018e4e932c2aa9647fdc7a11,b1d0249e357dbcef64897d17,FDA pdfFilenames metadata
018e4e932c2aa9647fdc7a11,0fa4d6a1f1280460c8fc10c4,FDA pdfFilenames metadata
018e4e932c2aa9647fdc7a11,7f7b60d186bef43087d0357e,FDA pdfFilenames metadata
