document_id,index_row_id,application,submission_type,submission_no,original_url
d70ba2720edf8d58bfc8142c,20112,018201,SUPPL,37,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2002/18-200s024_Midamor.html
277f685eb7e7931f99bf7442,20113,018211,SUPPL,14,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2003/018211_s014&s016_DITROPAN TABLETS.pdf
5762767ea58538ff1017b63e,20114,018225,SUPPL,19,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2002/18-225s018s19_18-226s24s25_Bumex.html
5762767ea58538ff1017b63e,20115,018226,SUPPL,25,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2002/18-225s018s19_18-226s24s25_Bumex.html
7d9eb24eb9ec46f7d4d1c880,20116,018227,SUPPL,12,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/018227_s012_AmidateTOC.html
f30df87424282ed67a70ea60,20117,018240,SUPPL,26,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/18240-s026_tenormin.pdf
f7896aab62fe7c9d69853fb2,20118,018248,SUPPL,26,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/018248_S026_OXYTOCIN_AP.pdf
3c01b1ede7310c1c0b24dd6d,20119,018248,SUPPL,27,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2000/018248_S027_OXYTOCIN_AP.pdf
92f613f1ef0a6d10addb81d0,20120,018261,SUPPL,21,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2002/018261_s021_PITOCIN_LBL.pdf
2baab387635af32ea973b137,20121,018276,SUPPL,33,http://www.accessdata.fda.gov/drugsatfda_docs/nda/96/018276ap.pdf
fcdfefa7ebfbd1fe335525dc,20122,018281,SUPPL,31,http://www.accessdata.fda.gov/drugsatfda_docs/nda/98/018927_S031_TEGRETOL_AP.PDF
781634f108329983c7953b3b,20124,018401,SUPPL,14,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2002/018401_s014_BuprenexTOC.html
2e2b2d62dc0eb391aab41cd7,20125,018467,SUPPL,13,http://www.accessdata.fda.gov/drugsatfda_docs/nda/pre96/018467-S13&S14_Hepatolite_toc.html
5620ac6bedf8073e50719744,20126,018506,SUPPL,18,"http://www.accessdata.fda.gov/drugsatfda_docs/nda/2000/019670_s013,20470s10,18506s018_Claritin-DTOC.cfml"
a5baa205a66cac91f3bc4168,20127,018553,SUPPL,12,http://www.accessdata.fda.gov/drugsatfda_docs/nda/pre96/018553_s012_INDERAL LA.pdf
409432cc87cb4a8454523bdc,20128,018553,SUPPL,15,http://www.accessdata.fda.gov/drugsatfda_docs/nda/pre96/018553_s015_INDERAL LA.pdf
e63c5a089f6c374085d2cce8,20129,018604,SUPPL,14,http://www.accessdata.fda.gov/drugsatfda_docs/nda/97/018604S014.pdf
41a4e449d1cd410eafd78a44,20130,018612,SUPPL,22,http://www.accessdata.fda.gov/drugsatfda_docs/nda/96/018612s022_020066s004_Nicorette.html
a155e8106697a46334c6848e,20131,018612,SUPPL,25,http://www.accessdata.fda.gov/drugsatfda_docs/nda/98/18-612s025_Nicorette.html
91b8afe4ee54cd8ed43ec040,20132,018612,SUPPL,34,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2004/018612_S034_NICORETTE_GUM_AP.pdf
c68f72b9634019da448df7d6,20133,018612,SUPPL,50,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2008/018612Orig1s050.pdf
d92baa461bfda20fccbd1258,20134,018613,SUPPL,9,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/18613s009s010_ovide.pdf
d92baa461bfda20fccbd1258,20135,018613,SUPPL,10,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/18613s009s010_ovide.pdf
1706a1ef46f0c3d1d73c3ad2,20137,018631,SUPPL,30,http://www.accessdata.fda.gov/drugsatfda_docs/nda/97/018631_s030ap.pdf
301e6fc3dc13fe27c334becd,20138,018644,SUPPL,12,http://www.accessdata.fda.gov/drugsatfda_docs/nda/96/018644a_s010_s012_s013.pdf
bb0d053fd4a23eeafa527163,20139,018644,SUPPL,46,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2013/018644Orig1s046.pdf
9fec5a9b764c69fe5b81db2d,20140,018644,SUPPL,47,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2013/018644Orig1s047.pdf
c7f925546512fad1c977ebe8,20141,018647,ORIG,1,http://www.accessdata.fda.gov/drugsatfda_docs/nda/pre96/18-647_corzide.pdf
3dfb7022696bdde932c53314,20142,018651,SUPPL,11,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/18651S011_Marinol.pdf
b5042d8411d56abf5123af24,20143,018654,SUPPL,18,http://www.accessdata.fda.gov/drugsatfda_docs/nda/97/018654ap.pdf
b5042d8411d56abf5123af24,20144,018654,SUPPL,29,http://www.accessdata.fda.gov/drugsatfda_docs/nda/97/018654ap.pdf
a15431161c796863ee714093,20145,018662,SUPPL,55,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2005/018662_S055_ACCUTANE_AP.pdf
4581f13e00d15281757e8e0e,20146,018662,SUPPL,57,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2006/018662_S057_ACCUTANE_AP.pdf
