document_id,url,pdf_page,terms,applications,lesson_hints,manual_status
e2ddd24a9ab575b364c954ed,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2023/216227Orig1s000MedR.pdf,6,investigator_brochure,216227,nonclinical-package,Unreviewed strong-term hit
e306e0dc161c33be912b077b,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2024/761248Orig1s000MedR.pdf,370,pre_ind,761248,clinical,Unreviewed strong-term hit
e37ffb9ce5919df30646f1ef,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2020/213433Orig1s000MultidisciplineR.pdf,32,may_proceed,213433,,Unreviewed strong-term hit
e392b4d7b399e59e58e3ee24,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2024/761248Orig1s000SumR.pdf,95,initial_ind,761248,cmc-controls,Unreviewed strong-term hit
e3d781e96e1417b1e269218d,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2026/218571Orig1s000IntegratedR.pdf,102,may_proceed; pre_ind,218571,nonclinical-pkpd; cmc-material,Unreviewed strong-term hit
e3edd4556796beeb2f625102,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2025/761378Orig1s000MultidisciplineR.pdf,178,pre_ind,761378,,Unreviewed strong-term hit
e3edd4556796beeb2f625102,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2025/761378Orig1s000MultidisciplineR.pdf,182,pre_ind,761378,nonclinical-pharmacology,Unreviewed strong-term hit
e3edd4556796beeb2f625102,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2025/761378Orig1s000MultidisciplineR.pdf,207,pre_ind,761378,nonclinical-pkpd,Unreviewed strong-term hit
e47fbe44e926a534b3f96bba,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2021/214938Orig1s000OtherR.pdf,41,investigator_brochure,214938,,Unreviewed strong-term hit
e49b9a34ddcf5e4d9615cd81,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2026/761439Orig2s000OtherR.pdf,56,pre_ind,761439,cmc-controls,Unreviewed strong-term hit
e49cf07fac149ccd462364fe,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2020/761049Orig1s009.pdf,77,pre_ind,761049,,Unreviewed strong-term hit
e4b1086337b3413aacfb7fd4,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2023/216675Orig1s000MedR.pdf,12,pre_ind,216675,,Unreviewed strong-term hit
e4e5ea81b03bde09e028a747,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2025/761315Orig1s000IntegratedR.pdf,69,clinical_hold,761315,nonclinical-pkpd; clinical,Unreviewed strong-term hit
e4e5ea81b03bde09e028a747,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2025/761315Orig1s000IntegratedR.pdf,94,clinical_hold,761315,nonclinical-pkpd,Unreviewed strong-term hit
e4e5ea81b03bde09e028a747,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2025/761315Orig1s000IntegratedR.pdf,174,clinical_hold,761315,nonclinical-pkpd; clinical,Unreviewed strong-term hit
e4e5ea81b03bde09e028a747,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2025/761315Orig1s000IntegratedR.pdf,178,clinical_hold,761315,,Unreviewed strong-term hit
e4e5ea81b03bde09e028a747,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2025/761315Orig1s000IntegratedR.pdf,190,may_proceed; pre_ind,761315,clinical,Unreviewed strong-term hit
e4e5ea81b03bde09e028a747,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2025/761315Orig1s000IntegratedR.pdf,191,clinical_hold,761315,cmc-controls; clinical,Unreviewed strong-term hit
e4eefc61192bb38797086565,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2025/761367Orig1s000IntegratedR.pdf,106,may_proceed,761367,cmc-material; cmc-stability,Unreviewed strong-term hit
e528e2cbc481ae8bc21fdd25,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2020/213006Orig1s000MedR.pdf,27,initial_ind; original_ind_review,213006,,Unreviewed strong-term hit
e5311165333a1605254750bf,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2024/761388Orig1s000IntegratedR.pdf,170,may_proceed,761388,nonclinical-safety,Unreviewed strong-term hit
e59a62bb2a7849973011d912,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2021/761178Orig1s000PharmR.pdf,12,pre_ind,761178,nonclinical-safety; nonclinical-package; cmc-material; cmc-controls,Unreviewed strong-term hit
e5aa681293f9ee02721b3b47,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2023/761204Orig1s000AdminCorres.pdf,52,clinical_hold,761204,nonclinical-pharmacology,Unreviewed strong-term hit
